구,일시,평균기온(°C),일강수량(mm),평균 풍속(m/s),노선명,역명,승차총승객수,하차총승객수
강남,2019-04-06,10.3,0,0.7,2호선,강남,88923,93827
강남,2019-04-07,12.7,0,1.3,2호선,강남,55689,54845
강남,2019-04-08,12.5,0,2.3,2호선,강남,107301,108144
강남,2019-04-09,9.6,20,2.1,2호선,강남,108481,107390
강남,2019-04-10,7.6,4,1.4,2호선,강남,109232,109946
강남,2019-04-11,10.3,0,1.4,2호선,강남,112346,113271
강남,2019-04-12,12.2,0,1.6,2호선,강남,119912,124399
강남,2019-04-13,12.7,0,1.7,2호선,강남,90478,95624
강남,2019-04-14,10.6,1.5,2,2호선,강남,51264,51028
강남,2019-04-15,13,0,1.8,2호선,강남,106591,107947
강남,2019-04-16,15.9,0,1.4,2호선,강남,107821,108932
강남,2019-04-17,16.3,0,1.6,2호선,강남,108878,109494
강남,2019-04-18,13.8,0,1.8,2호선,강남,108756,110017
강남,2019-04-19,13.9,0,1.4,2호선,강남,115248,120183
강남,2019-04-20,14.8,0,1.4,2호선,강남,84310,89202
강남,2019-04-21,15.3,0.5,1.6,2호선,강남,48887,48100
강남,2019-04-22,19.6,0,1.4,2호선,강남,103958,105177
강남,2019-04-23,21,0,1.1,2호선,강남,106171,107397
강남,2019-04-24,19.7,6.5,1.3,2호선,강남,108843,109517
강남,2019-04-25,13.7,11,1.5,2호선,강남,111149,111291
강남,2019-04-26,9.3,4,1.6,2호선,강남,121860,127804
강남,2019-04-27,12.8,0,1.3,2호선,강남,92893,98524
강남,2019-04-28,13.8,0,1.3,2호선,강남,57347,56398
강남,2019-04-29,13.6,0,0.9,2호선,강남,105058,105954
강남,2019-04-30,16.1,0,1.5,2호선,강남,112630,116321
강남,2019-05-01,17.1,0,2.1,2호선,강남,77204,78025
강남,2019-05-02,18.5,0,2,2호선,강남,113101,114737
강남,2019-05-03,18.7,0,1.6,2호선,강남,122038,127625
강남,2019-05-04,20.4,0,1.4,2호선,강남,90217,94957
강남,2019-05-05,20.1,0,1.7,2호선,강남,55164,57755
강남,2019-05-06,15.1,0,2.4,2호선,강남,61394,61159
강남,2019-05-07,15.9,0,2,2호선,강남,108170,109215
강남,2019-05-08,16.4,0,2.1,2호선,강남,106937,107069
강남,2019-05-09,17.1,0,2,2호선,강남,112428,113596
강남,2019-05-10,18.7,0,1.6,2호선,강남,122649,127571
강남,2019-05-11,21.2,0,1.3,2호선,강남,92975,98209
강남,2019-05-12,22.2,0,1.2,2호선,강남,56602,55630
강남,2019-05-13,19.6,0,1.1,2호선,강남,107450,108265
강남,2019-05-14,20.9,0,1.3,2호선,강남,111728,112767
강남,2019-05-15,21.6,0,1.4,2호선,강남,113431,114449
강남,2019-05-16,24,0,1.4,2호선,강남,114067,114323
강남,2019-05-17,24.4,0,1.1,2호선,강남,119461,124359
강남,2019-05-18,22.9,0,1.4,2호선,강남,90360,96293
강남,2019-05-19,19.4,15.5,0.7,2호선,강남,52763,51750
강남,2019-05-20,16.9,4.5,2.9,2호선,강남,107736,108808
강남,2019-05-21,17.8,0,2.6,2호선,강남,110481,111443
강남,2019-05-22,20.7,0,2.2,2호선,강남,110308,111151
강남,2019-05-23,23.3,0,1.1,2호선,강남,112122,112590
강남,2019-05-24,25.2,0,1.5,2호선,강남,120746,124982
강남,2019-05-25,24.3,0,1.5,2호선,강남,92139,97014
강남,2019-05-26,25.1,0,1.6,2호선,강남,57140,56962
강남,2019-05-27,18.4,4.5,2,2호선,강남,103532,104670
강남,2019-05-28,19.1,0,2,2호선,강남,109798,110475
강남,2019-05-29,20,0,1.8,2호선,강남,109930,110668
강남,2019-05-30,20,0,1.6,2호선,강남,109404,110162
강남,2019-05-31,20.1,0,1.9,2호선,강남,115845,120454
강남,2019-06-01,19.3,0,1.1,2호선,강남,85794,91965
강남,2019-06-02,21.8,0,1,2호선,강남,52233,50249
강남,2019-06-03,23.6,0,1,2호선,강남,106699,107870
강남,2019-06-04,23.5,0,1.5,2호선,강남,110769,111068
강남,2019-06-05,24,0,1.2,2호선,강남,115657,121176
강남,2019-06-06,21.8,5.5,0.6,2호선,강남,59570,59739
강남,2019-06-07,20.1,40,1.1,2호선,강남,104198,108429
강남,2019-06-08,22.4,0,0.7,2호선,강남,83736,89131
강남,2019-06-09,22.4,0,0.9,2호선,강남,48571,47659
강남,2019-06-10,19.3,7.5,0.7,2호선,강남,104483,106183
강남,2019-06-11,21.2,0,0.7,2호선,강남,109197,109340
강남,2019-06-12,22,0,1,2호선,강남,109410,109976
강남,2019-06-13,23.8,0,0.9,2호선,강남,110467,111612
강남,2019-06-14,24,0,0.9,2호선,강남,116720,121894
강남,2019-06-15,22.5,5.5,1.3,2호선,강남,85732,92997
강남,2019-06-16,22.4,0,1,2호선,강남,50934,48777
강남,2019-06-17,22.3,0,1.4,2호선,강남,107152,108329
강남,2019-06-18,21,10,0.9,2호선,강남,110251,110131
강남,2019-06-19,22.4,0,0.9,2호선,강남,111884,113121
강남,2019-06-20,23.5,0,1.1,2호선,강남,115587,117875
강남,2019-06-21,23.1,0,1.2,2호선,강남,123186,129007
강남,2019-06-22,24.8,0,1,2호선,강남,93920,100289
강남,2019-06-23,25.1,0,1,2호선,강남,56147,55644
강남,2019-06-24,25.4,0,1.5,2호선,강남,114495,115835
강남,2019-06-25,26.5,0,1.3,2호선,강남,116671,118108
강남,2019-06-26,25.5,0,1.2,2호선,강남,116181,117554
강남,2019-06-27,26.2,0,1.3,2호선,강남,115842,117522
강남,2019-06-28,25.3,0,0.8,2호선,강남,121520,127368
강남,2019-06-29,23.6,2,0.2,2호선,강남,87294,93157
강남,2019-06-30,24.5,0,0.8,2호선,강남,53988,53884
강남,2019-07-01,24.3,0,1.6,2호선,강남,110210,111378
강남,2019-07-02,25.1,0,1.6,2호선,강남,113686,114785
강남,2019-07-03,24.9,0,1.2,2호선,강남,124317,125666
강남,2019-07-04,26.3,0,1.4,2호선,강남,125618,126453
강남,2019-07-05,28.3,0,1.2,2호선,강남,130664,135633
강남,2019-07-06,29.6,0,1.5,2호선,강남,92161,97415
강남,2019-07-07,27.1,0,1.6,2호선,강남,56204,55471
강남,2019-07-08,25.6,0,1.6,2호선,강남,119932,121100
강남,2019-07-09,25.6,0,1.4,2호선,강남,124137,125147
강남,2019-07-10,22.9,15,1.3,2호선,강남,125337,124265
강남,2019-07-11,22.4,5,1,2호선,강남,123220,124795
강남,2019-07-12,24.2,0,1.7,2호선,강남,130396,136116
강남,2019-07-13,25.2,0,1.4,2호선,강남,92260,97498
강남,2019-07-14,26.3,0,1.2,2호선,강남,56909,56521
강남,2019-07-15,23.9,26.5,0.9,2호선,강남,119682,119914
강남,2019-07-16,25.6,0.5,1,2호선,강남,122279,123370
강남,2019-07-17,26.7,0,0.9,2호선,강남,124939,125716
강남,2019-07-18,27.7,9.5,1,2호선,강남,124164,125525
강남,2019-07-19,28.5,0.5,1.4,2호선,강남,130905,135498
강남,2019-07-20,28.6,1,2,2호선,강남,88233,93139
강남,2019-07-21,25.6,8,1.5,2호선,강남,55549,55342
강남,2019-07-22,27.6,0,1.4,2호선,강남,119536,120320
강남,2019-07-23,28.7,0,1.3,2호선,강남,121861,122896
강남,2019-07-24,27.2,0,1.1,2호선,강남,120149,121807
강남,2019-07-25,26.8,8.5,0.9,2호선,강남,121128,122473
강남,2019-07-26,26.1,115.5,0.9,2호선,강남,119144,124808
강남,2019-07-27,28.9,29.5,1,2호선,강남,86565,90846
강남,2019-07-28,26.4,27,1.3,2호선,강남,51617,51266
강남,2019-07-29,28.3,0.5,1.7,2호선,강남,114935,116110
강남,2019-07-30,29.1,0,1.9,2호선,강남,115829,116131
강남,2019-07-31,26.6,64,1.4,2호선,강남,106357,107111
강남,2019-08-01,27.3,50,1,2호선,강남,116142,117443
강남,2019-08-02,29.9,0,0.9,2호선,강남,120854,125325
강남,2019-08-03,30.3,0,0.9,2호선,강남,79695,83069
강남,2019-08-04,29,0,0.7,2호선,강남,51624,51225
강남,2019-08-05,31.5,0,0.6,2호선,강남,115217,115420
강남,2019-08-06,32,0,0.9,2호선,강남,116499,117748
강남,2019-08-07,26.8,13.5,0.6,2호선,강남,116123,117057
강남,2019-08-08,29.4,0,0.8,2호선,강남,120782,122208
강남,2019-08-09,30,0,0.8,2호선,강남,125346,129944
강남,2019-08-10,31.8,0,1.3,2호선,강남,85851,90551
강남,2019-08-11,31.2,4,2.1,2호선,강남,55108,54117
강남,2019-08-12,26.7,44,0.9,2호선,강남,113020,113916
강남,2019-08-13,30.5,0,1.1,2호선,강남,119734,120737
강남,2019-08-14,31.2,0,1.1,2호선,강남,123822,129602
강남,2019-08-15,25.8,35.5,0.9,2호선,강남,60128,60992
강남,2019-08-16,26.7,0,1.6,2호선,강남,111275,115461
강남,2019-08-17,26.2,1.5,1.5,2호선,강남,81774,85991
강남,2019-08-18,26,0,1.1,2호선,강남,51387,51135
강남,2019-08-19,26.5,0,0.6,2호선,강남,113218,115031
강남,2019-08-20,28.1,0,0.9,2호선,강남,116800,117678
강남,2019-08-21,27.5,0.5,1.1,2호선,강남,117866,118577
강남,2019-08-22,27.8,0,1.2,2호선,강남,116840,118863
강남,2019-08-23,27.1,0,1.6,2호선,강남,122469,128021
강남,2019-08-24,24.3,0,1.2,2호선,강남,87593,92034
강남,2019-08-25,24.9,0,1.1,2호선,강남,54092,53091
강남,2019-08-26,26.8,0,1.1,2호선,강남,110533,112173
강남,2019-08-27,25.6,2.5,0.9,2호선,강남,112207,113664
강남,2019-08-28,26.3,0.5,1.2,2호선,강남,113642,115246
강남,2019-08-29,23,45.5,1.3,2호선,강남,108523,109602
강남,2019-08-30,23.5,0.2,2.4,2호선,강남,116612,122343
강남,2019-08-31,24,0,1.9,2호선,강남,85836,91245
강남,2019-09-01,23.5,0,1.4,2호선,강남,53624,52659
강남,2019-09-02,24.5,0,1.6,2호선,강남,106265,107885
강남,2019-09-03,25,0,2.3,2호선,강남,107821,109243
강남,2019-09-04,23.5,22.7,2.5,2호선,강남,107377,108389
강남,2019-09-05,25,36.4,2,2호선,강남,105047,106741
강남,2019-09-06,25.5,2.4,2.1,2호선,강남,117383,121833
강남,2019-09-07,26.5,2.8,6,2호선,강남,61041,63351
강남,2019-09-08,25,0,1.9,2호선,강남,55820,55292
강남,2019-09-09,25,28.25,1.35,2호선,강남,107598,109658
강남,2019-09-10,24.1,56.5,0.8,2호선,강남,108947,110152
강남,2019-09-11,24.4,9,1,2호선,강남,105245,109900
